suiteId,caseId,family,suitePurpose,topologyKind,policy,verdict,status,match,tMeanMs,q,sigma,r,error
"G1_clean_small","G1_00","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",289,1,2,0,
"G1_clean_small","G1_01","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",527,2,2,1,
"G1_clean_small","G1_02","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",262,1,2,0,
"G1_clean_small","G1_03","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",541,2,2,1,
"G1_clean_small","G1_04","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",279,1,2,0,
"G1_clean_small","G1_05","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",1110,3,2,2,
"G1_clean_small","G1_06","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",313,1,2,0,
"G1_clean_small","G1_07","G1","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",1161,3,2,2,
"G1_clean_small","G1_08","G1","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","SAFE","PASS","YES",411,1,4,0,
"G1_clean_small","G1_09","G1","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","UNSAFE","PASS","YES",1985,3,4,2,
"G1_clean_small","G1_10","G1","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","SAFE","PASS","YES",534,1,4,0,
"G1_clean_small","G1_11","G1","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","UNSAFE","PASS","YES",2631,3,4,2,
"G2_clean_multi","G2_00","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",309,1,2,0,
"G2_clean_multi","G2_01","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",644,2,2,1,
"G2_clean_multi","G2_02","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",265,1,2,0,
"G2_clean_multi","G2_03","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",585,2,2,1,
"G2_clean_multi","G2_04","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",280,1,2,0,
"G2_clean_multi","G2_05","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",1864,4,2,2,
"G2_clean_multi","G2_06","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",266,1,2,0,
"G2_clean_multi","G2_07","G2","SANITY","SIMPLE_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",1838,4,2,2,
"G2_clean_multi","G2_08","G2","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","SAFE","PASS","YES",690,1,8,0,
"G2_clean_multi","G2_09","G2","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","UNSAFE","PASS","YES",3674,3,8,2,
"G2_clean_multi","G2_10","G2","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","SAFE","PASS","YES",733,1,8,0,
"G2_clean_multi","G2_11","G2","SANITY","SIMPLE_MUTEX","STATIC_SIGMA","UNSAFE","PASS","YES",3983,3,8,2,
"G3_split_required","G3_00","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",277,1,2,0,
"G3_split_required","G3_01","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",552,2,2,1,
"G3_split_required","G3_02","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",313,1,2,0,
"G3_split_required","G3_03","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",551,2,2,1,
"G3_split_required","G3_04","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",268,1,2,0,
"G3_split_required","G3_05","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",572,2,2,1,
"G3_split_required","G3_06","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",290,1,2,0,
"G3_split_required","G3_07","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",1154,3,2,2,
"G3_split_required","G3_08","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",286,1,2,0,
"G3_split_required","G3_09","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",1122,3,2,2,
"G3_split_required","G3_10","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","SAFE","PASS","YES",280,1,2,0,
"G3_split_required","G3_11","G3","SANITY","SPLIT_BUFFER","STATIC_SIGMA","UNSAFE","PASS","YES",1105,3,2,2,
