suiteId,caseId,family,suitePurpose,topologyKind,valid,directVerdict,directStatus,directTMeanMs,staticVerdict,staticStatus,staticMatch,staticTMeanMs,staticQ,staticSigma,staticR,staticSpeedup,dynamicVerdict,dynamicStatus,dynamicMatch,dynamicTMeanMs,dynamicQ,dynamicSigma,dynamicR,dynamicSpeedup,preprocess,property
"G1_clean_small","G1_00","G1","SANITY","SIMPLE_BUFFER","Yes","SAFE","PASS",725,"SAFE","PASS","YES",289,1,2,0,"2.51","SAFE","PASS","YES",268,1,2,0,"2.71","NONE","A[] Buf.count >= 0"
"G1_clean_small","G1_01","G1","SANITY","SIMPLE_BUFFER","No","UNSAFE","PASS",66,"UNSAFE","PASS","YES",527,2,2,1,"0.13","UNSAFE","PASS","YES",522,2,2,1,"0.13","NONE","A[] Buf.count >= 0"
"G1_clean_small","G1_02","G1","SANITY","SIMPLE_BUFFER","Yes","SAFE","PASS",67,"SAFE","PASS","YES",262,1,2,0,"0.26","SAFE","PASS","YES",275,1,2,0,"0.24","NONE","A[] Buf.count >= 0"
"G1_clean_small","G1_03","G1","SANITY","SIMPLE_BUFFER","No","UNSAFE","PASS",69,"UNSAFE","PASS","YES",541,2,2,1,"0.13","UNSAFE","PASS","YES",569,2,2,1,"0.12","NONE","A[] Buf.count >= 0"
"G1_clean_small","G1_04","G1","SANITY","SIMPLE_BUFFER","Yes","SAFE","PASS",70,"SAFE","PASS","YES",279,1,2,0,"0.25","SAFE","PASS","YES",274,1,2,0,"0.26","NONE","A[] Buf.count <= Buf.len"
"G1_clean_small","G1_05","G1","SANITY","SIMPLE_BUFFER","No","UNSAFE","PASS",67,"UNSAFE","PASS","YES",1110,3,2,2,"0.06","UNSAFE","PASS","YES",1097,3,2,2,"0.06","NONE","A[] Buf.count <= Buf.len"
"G1_clean_small","G1_06","G1","SANITY","SIMPLE_BUFFER","Yes","SAFE","PASS",70,"SAFE","PASS","YES",313,1,2,0,"0.22","SAFE","PASS","YES",268,1,2,0,"0.26","NONE","A[] Buf.count <= Buf.len"
"G1_clean_small","G1_07","G1","SANITY","SIMPLE_BUFFER","No","UNSAFE","PASS",67,"UNSAFE","PASS","YES",1161,3,2,2,"0.06","UNSAFE","PASS","YES",1129,3,2,2,"0.06","NONE","A[] Buf.count <= Buf.len"
"G1_clean_small","G1_08","G1","SANITY","SIMPLE_MUTEX","Yes","SAFE","PASS",68,"SAFE","PASS","YES",411,1,4,0,"0.17","SAFE","PASS","YES",399,1,4,0,"0.17","NONE","A[] Mutex.hold <= 1"
"G1_clean_small","G1_09","G1","SANITY","SIMPLE_MUTEX","No","UNSAFE","PASS",68,"UNSAFE","PASS","YES",1985,3,4,2,"0.03","UNSAFE","PASS","YES",2047,3,4,2,"0.03","NONE","A[] Mutex.hold <= 1"
