suiteId,caseId,family,suitePurpose,topologyKind,alphabetSize,caseProfile,variantId,modePattern,modeCount,burstLength,policy,verdict,status,match,tMeanMs,q,sigma,r,error
"M1_boundary_sched_buffer","M1_s2_base_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",390,1,2,0,
"M1_boundary_sched_buffer","M1_s2_base_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",399,1,2,0,
"M1_boundary_sched_buffer","M1_s2_three","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",390,1,2,0,
"M1_boundary_sched_buffer","M1_s2_tight_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",431,1,2,0,
"M1_boundary_sched_buffer","M1_s2_tight_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",398,1,2,0,
"M1_boundary_sched_buffer","M1_s2_two_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TWO_A","","TWO_MODE",2,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",434,1,2,0,
"M1_boundary_sched_buffer","M1_s2_two_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TWO_B","","TWO_MODE",2,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",421,1,2,0,
"M1_boundary_sched_buffer","M1_s4_three","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",4,"S4_THREE","","THREE_MODE",3,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",622,1,4,0,
"M1_boundary_sched_buffer","M1_s4_two","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",4,"S4_TWO","","TWO_MODE",2,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",694,1,4,0,
"M1_boundary_sched_buffer","M1_s6_stress","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",6,"S6_STRESS","","THREE_MODE",3,1,"DYNAMIC_GAMMA","SAFE","PASS","NO",869,1,6,0,
"M2_boundary_pipeline_buffer","M2_s2_base_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",384,1,2,0,
"M2_boundary_pipeline_buffer","M2_s2_base_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",391,1,2,0,
"M2_boundary_pipeline_buffer","M2_s2_three","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",416,1,2,0,
"M2_boundary_pipeline_buffer","M2_s2_tight_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",337,1,2,0,
"M2_boundary_pipeline_buffer","M2_s2_tight_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"DYNAMIC_GAMMA","SAFE","PASS","YES",325,1,2,0,
