suiteId,caseId,family,suitePurpose,topologyKind,alphabetSize,caseProfile,variantId,modePattern,modeCount,burstLength,verdict,status,tMeanMs,error
"M1_boundary_sched_buffer","M1_s2_base_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"SAFE","PASS",5065,
"M1_boundary_sched_buffer","M1_s2_base_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"SAFE","PASS",18771,
"M1_boundary_sched_buffer","M1_s2_three","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"SAFE","PASS",9926,
"M1_boundary_sched_buffer","M1_s2_tight_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"SAFE","PASS",37056,
"M1_boundary_sched_buffer","M1_s2_tight_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"SAFE","PASS",37217,
"M1_boundary_sched_buffer","M1_s2_two_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TWO_A","","TWO_MODE",2,1,"SAFE","PASS",4380,
"M1_boundary_sched_buffer","M1_s2_two_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TWO_B","","TWO_MODE",2,1,"SAFE","PASS",18528,
"M1_boundary_sched_buffer","M1_s4_three","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",4,"S4_THREE","","THREE_MODE",3,1,"SAFE","PASS",38556,
"M1_boundary_sched_buffer","M1_s4_two","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",4,"S4_TWO","","TWO_MODE",2,1,"SAFE","PASS",4362,
"M1_boundary_sched_buffer","M1_s6_stress","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",6,"S6_STRESS","","THREE_MODE",3,1,,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 60000 ms"
"M2_boundary_pipeline_buffer","M2_s2_base_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"SAFE","PASS",3033,
"M2_boundary_pipeline_buffer","M2_s2_base_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"SAFE","PASS",3126,
"M2_boundary_pipeline_buffer","M2_s2_three","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"SAFE","PASS",8133,
"M2_boundary_pipeline_buffer","M2_s2_tight_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"SAFE","PASS",49716,
"M2_boundary_pipeline_buffer","M2_s2_tight_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"SAFE","PASS",43325,
"M2_boundary_pipeline_buffer","M2_s2_two_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TWO_A","","TWO_MODE",2,1,"SAFE","PASS",2598,
"M2_boundary_pipeline_buffer","M2_s2_two_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TWO_B","","TWO_MODE",2,1,"SAFE","PASS",2586,
"M2_boundary_pipeline_buffer","M2_s4_three","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",4,"S4_THREE","","THREE_MODE",3,1,"SAFE","PASS",6399,
"M2_boundary_pipeline_buffer","M2_s4_two","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",4,"S4_TWO","","TWO_MODE",2,1,"SAFE","PASS",2517,
"M2_boundary_pipeline_buffer","M2_s6_stress","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",6,"S6_STRESS","","THREE_MODE",3,1,,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 60000 ms"
"M3_boundary_split_pipeline_buffer","M3_s2_base_a","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"SAFE","PASS",22629,
"M3_boundary_split_pipeline_buffer","M3_s2_base_b","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"SAFE","PASS",22482,
"M3_boundary_split_pipeline_buffer","M3_s2_three","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"SAFE","PASS",46408,
"M3_boundary_split_pipeline_buffer","M3_s2_tight_a","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"SAFE","PASS",4212,
"M3_boundary_split_pipeline_buffer","M3_s2_tight_b","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"SAFE","PASS",4059,
"M3_boundary_split_pipeline_buffer","M3_s2_two_a","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TWO_A","","TWO_MODE",2,1,"SAFE","PASS",21571,
"M3_boundary_split_pipeline_buffer","M3_s2_two_b","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TWO_B","","TWO_MODE",2,1,"SAFE","PASS",21133,
"M3_boundary_split_pipeline_buffer","M3_s4_three","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",4,"S4_THREE","","THREE_MODE",3,1,"SAFE","PASS",6912,
"M3_boundary_split_pipeline_buffer","M3_s4_two","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",4,"S4_TWO","","TWO_MODE",2,1,"SAFE","PASS",2933,
"M3_boundary_split_pipeline_buffer","M3_s6_stress","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",6,"S6_STRESS","","THREE_MODE",3,1,,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 60000 ms"
