suiteId,caseId,family,suitePurpose,topologyKind,alphabetSize,caseProfile,variantId,modePattern,modeCount,burstLength,valid,directVerdict,directStatus,directTMeanMs,staticVerdict,staticStatus,staticMatch,staticTMeanMs,staticQ,staticSigma,staticR,staticSpeedup,dynamicVerdict,dynamicStatus,dynamicMatch,dynamicTMeanMs,dynamicQ,dynamicSigma,dynamicR,dynamicSpeedup,preprocess,property
"M1_boundary_sched_buffer","M1_s2_base_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"Yes","SAFE","PASS",5065,"SAFE","PASS","YES",444,1,2,0,"11.41","SAFE","PASS","YES",390,1,2,0,"12.99","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s2_base_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"Yes","SAFE","PASS",18771,"SAFE","PASS","YES",444,1,2,0,"42.28","SAFE","PASS","YES",399,1,2,0,"47.05","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s2_three","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"Yes","SAFE","PASS",9926,"SAFE","PASS","YES",438,1,2,0,"22.66","SAFE","PASS","YES",390,1,2,0,"25.45","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s2_tight_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"Yes","SAFE","PASS",37056,"SAFE","PASS","YES",458,1,2,0,"80.91","SAFE","PASS","YES",431,1,2,0,"85.98","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s2_tight_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"Yes","SAFE","PASS",37217,"SAFE","PASS","YES",438,1,2,0,"84.97","SAFE","PASS","YES",398,1,2,0,"93.51","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s2_two_a","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TWO_A","","TWO_MODE",2,1,"Yes","SAFE","PASS",4380,"SAFE","PASS","YES",439,1,2,0,"9.98","SAFE","PASS","YES",434,1,2,0,"10.09","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s2_two_b","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",2,"TWO_B","","TWO_MODE",2,1,"Yes","SAFE","PASS",18528,"SAFE","PASS","YES",404,1,2,0,"45.86","SAFE","PASS","YES",421,1,2,0,"44.01","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s4_three","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",4,"S4_THREE","","THREE_MODE",3,1,"Yes","SAFE","PASS",38556,"SAFE","PASS","YES",625,1,4,0,"61.69","SAFE","PASS","YES",622,1,4,0,"61.99","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s4_two","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",4,"S4_TWO","","TWO_MODE",2,1,"Yes","SAFE","PASS",4362,"SAFE","PASS","YES",672,1,4,0,"6.49","SAFE","PASS","YES",694,1,4,0,"6.29","NONE","A[] Buf.count <= Buf.len"
"M1_boundary_sched_buffer","M1_s6_stress","M1","PERFORMANCE","MID_BOUNDARY_SCHED_BUFFER",6,"S6_STRESS","","THREE_MODE",3,1,"Yes",,"TIMEOUT",-1,"SAFE","PASS","NO",842,1,6,0,"-","SAFE","PASS","NO",869,1,6,0,"-","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s2_base_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"Yes","SAFE","PASS",3033,"SAFE","PASS","YES",409,1,2,0,"7.42","SAFE","PASS","YES",384,1,2,0,"7.90","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s2_base_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"Yes","SAFE","PASS",3126,"SAFE","PASS","YES",403,1,2,0,"7.76","SAFE","PASS","YES",391,1,2,0,"7.99","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s2_three","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"Yes","SAFE","PASS",8133,"SAFE","PASS","YES",462,1,2,0,"17.60","SAFE","PASS","YES",416,1,2,0,"19.55","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s2_tight_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"Yes","SAFE","PASS",49716,"SAFE","PASS","YES",388,1,2,0,"128.13","SAFE","PASS","YES",337,1,2,0,"147.53","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s2_tight_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"Yes","SAFE","PASS",43325,"SAFE","PASS","YES",375,1,2,0,"115.53","SAFE","PASS","YES",325,1,2,0,"133.31","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s2_two_a","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TWO_A","","TWO_MODE",2,1,"Yes","SAFE","PASS",2598,"SAFE","PASS","YES",327,1,2,0,"7.94","SAFE","PASS","YES",315,1,2,0,"8.25","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s2_two_b","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",2,"TWO_B","","TWO_MODE",2,1,"Yes","SAFE","PASS",2586,"SAFE","PASS","YES",363,1,2,0,"7.12","SAFE","PASS","YES",332,1,2,0,"7.79","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s4_three","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",4,"S4_THREE","","THREE_MODE",3,1,"Yes","SAFE","PASS",6399,"SAFE","PASS","YES",557,1,4,0,"11.49","SAFE","PASS","YES",485,1,4,0,"13.19","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s4_two","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",4,"S4_TWO","","TWO_MODE",2,1,"Yes","SAFE","PASS",2517,"SAFE","PASS","YES",496,1,4,0,"5.07","SAFE","PASS","YES",475,1,4,0,"5.30","NONE","A[] Buf.count <= Buf.len"
"M2_boundary_pipeline_buffer","M2_s6_stress","M2","PERFORMANCE","MID_BOUNDARY_PIPELINE_BUFFER",6,"S6_STRESS","","THREE_MODE",3,1,"Yes",,"TIMEOUT",-1,"SAFE","PASS","NO",658,1,6,0,"-","SAFE","PASS","NO",686,1,6,0,"-","NONE","A[] Buf.count <= Buf.len"
"M3_boundary_split_pipeline_buffer","M3_s2_base_a","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"BASE_A","","ONE_MODE",1,1,"Yes","SAFE","PASS",22629,"SAFE","PASS","YES",327,1,2,0,"69.20","SAFE","PASS","YES",324,1,2,0,"69.84","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"M3_boundary_split_pipeline_buffer","M3_s2_base_b","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"BASE_B","","ONE_MODE",1,1,"Yes","SAFE","PASS",22482,"SAFE","PASS","YES",336,1,2,0,"66.91","SAFE","PASS","YES",297,1,2,0,"75.70","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"M3_boundary_split_pipeline_buffer","M3_s2_three","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"S2_THREE","","THREE_MODE",3,1,"Yes","SAFE","PASS",46408,"SAFE","PASS","YES",322,1,2,0,"144.12","SAFE","PASS","YES",312,1,2,0,"148.74","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"M3_boundary_split_pipeline_buffer","M3_s2_tight_a","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TIGHT_A","","ONE_MODE",1,1,"Yes","SAFE","PASS",4212,"SAFE","PASS","YES",329,1,2,0,"12.80","SAFE","PASS","YES",313,1,2,0,"13.46","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"M3_boundary_split_pipeline_buffer","M3_s2_tight_b","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TIGHT_B","","ONE_MODE",1,1,"Yes","SAFE","PASS",4059,"SAFE","PASS","YES",315,1,2,0,"12.89","SAFE","PASS","YES",311,1,2,0,"13.05","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"M3_boundary_split_pipeline_buffer","M3_s2_two_a","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TWO_A","","TWO_MODE",2,1,"Yes","SAFE","PASS",21571,"SAFE","PASS","YES",369,1,2,0,"58.46","SAFE","PASS","YES",311,1,2,0,"69.36","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
"M3_boundary_split_pipeline_buffer","M3_s2_two_b","M3","PERFORMANCE","MID_BOUNDARY_SPLIT_PIPELINE_BUFFER",2,"TWO_B","","TWO_MODE",2,1,"Yes","SAFE","PASS",21133,"SAFE","PASS","YES",333,1,2,0,"63.46","SAFE","PASS","YES",302,1,2,0,"69.98","BIDIRECTIONAL_DOMAIN_SPLIT","A[] Buf.count <= Buf.len"
