suiteId,caseId,family,suitePurpose,topologyKind,policy,verdict,status,match,tMeanMs,q,sigma,r,error
"P1_boundary_sched_buffer","P1_00","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",495,1,2,0,
"P1_boundary_sched_buffer","P1_01","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",364,1,2,0,
"P1_boundary_sched_buffer","P1_02","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",475,1,2,0,
"P1_boundary_sched_buffer","P1_03","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",384,1,2,0,
"P1_boundary_sched_buffer","P1_04","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",368,1,2,0,
"P1_boundary_sched_buffer","P1_05","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",429,1,2,0,
"P1_boundary_sched_buffer","P1_06","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",305,1,2,0,
"P1_boundary_sched_buffer","P1_07","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",381,1,2,0,
"P2_boundary_pipeline_buffer","P2_00","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",379,1,2,0,
"P2_boundary_pipeline_buffer","P2_01","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",335,1,2,0,
"P2_boundary_pipeline_buffer","P2_02","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",381,1,2,0,
"P2_boundary_pipeline_buffer","P2_03","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",365,1,2,0,
"P2_boundary_pipeline_buffer","P2_04","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",303,1,2,0,
"P2_boundary_pipeline_buffer","P2_05","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",314,1,2,0,
"P2_boundary_pipeline_buffer","P2_06","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",326,1,2,0,
"P2_boundary_pipeline_buffer","P2_07","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",325,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_00","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",429,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_01","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",346,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_02","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",353,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_03","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",321,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_04","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",291,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_05","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",291,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_06","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",342,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_07","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","STATIC_SIGMA","SAFE","PASS","NO",361,1,2,0,
