suiteId,caseId,family,suitePurpose,topologyKind,verdict,status,tMeanMs,error
"P1_boundary_sched_buffer","P1_00","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P1_boundary_sched_buffer","P1_01","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P1_boundary_sched_buffer","P1_02","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P1_boundary_sched_buffer","P1_03","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P1_boundary_sched_buffer","P1_04","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P1_boundary_sched_buffer","P1_05","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P1_boundary_sched_buffer","P1_06","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P1_boundary_sched_buffer","P1_07","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_00","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_01","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_02","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_03","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_04","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_05","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_06","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P2_boundary_pipeline_buffer","P2_07","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_00","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_01","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_02","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_03","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_04","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_05","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_06","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
"P3_boundary_split_pipeline_buffer","P3_07","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER",,"TIMEOUT",-1,"IOException: VERIFYTA_TIMEOUT: process exceeded 5000 ms"
