group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,policy,valid,verdict,status,match,tMeanMs,q,sigma,r,error
"PC Channel","PC_1","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer","Producer_1+Consumer_1+Consumer_2+Consumer_3","M1-single/M2-multi","binary-channel adaptation","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",463,1,2,0,
"PC Channel","PC_2","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer+Producer_1","Consumer_1+Consumer_2+Consumer_3","M1-multi/M2-multi","producer internal to M1","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",310,1,1,0,
"PC Channel","PC_3","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer+Consumer_1+Consumer_2+Consumer_3","Producer_1","M1-multi/M2-single","all consumers internal to M1","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",317,1,1,0,
"Train-Gate Channel","TrainGate_1","train_gate.TrainGateN4Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",710,1,4,0,
"Train-Gate Channel","TrainGate_2","train_gate.TrainGateN5Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4+Train_5","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",599,1,4,0,
"Train-Gate Channel","TrainGate_3","train_gate.TrainGateN6Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4+Train_5+Train_6","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",612,1,4,0,
"Fischer Channel","Fischer2_1","fischer.FischerTa3Source","A[] Mutex.hold <= 1","Mutex","Process_1+Process_2+Global_Var","M1-single/M2-multi","monitor-only partition","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",2813,3,4,1,
"Fischer Channel","Fischer2_2","fischer.FischerTa3Source","A[] Mutex.hold <= 1","Mutex+Process_1","Process_2+Global_Var","M1-multi/M2-multi","Process_1 internal to M1","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",766,1,5,0,
"Fischer Channel","Fischer3_1","fischer.FischerTa4Source","A[] Mutex.hold <= 1","Mutex","Process_1+Process_2+Process_3+Global_Var","M1-single/M2-multi","monitor-only partition","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",3897,3,6,1,
"Fischer Channel","Fischer3_2","fischer.FischerTa4Source","A[] Mutex.hold <= 1","Mutex+Process_1","Process_2+Process_3+Global_Var","M1-multi/M2-multi","Process_1 internal to M1","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",714,1,5,0,
"AUTOSAR-1 Channel","Experiment1_single_1","autosar1.singleM1.Experiment1_single_1","A[] (buffer1.count >=0)","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",6417,4,2,3,
"AUTOSAR-1 Channel","Experiment1_single_2","autosar1.singleM1.Experiment1_single_2","A[] buffer1.count <= buffer1.len","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",390,1,2,0,
"AUTOSAR-1 Channel","Experiment1_single_3","autosar1.singleM1.Experiment1_single_3","A[] (buffer2.count >=0)","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",3151,3,2,2,
"AUTOSAR-1 Channel","Experiment1_single_4","autosar1.singleM1.Experiment1_single_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",378,1,2,0,
"AUTOSAR-1 Channel","Experiment1_1","autosar1.mutileM1.Experiment1_1","A[] (buffer1.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",5852,3,2,2,
"AUTOSAR-1 Channel","Experiment1_2","autosar1.mutileM1.Experiment1_2","A[] (buffer1.count <= buffer1.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",4915,2,2,1,
"AUTOSAR-1 Channel","Experiment1_3","autosar1.mutileM1.Experiment1_3","A[] (buffer2.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",4666,2,2,1,
"AUTOSAR-1 Channel","Experiment1_4","autosar1.mutileM1.Experiment1_4","A[] (buffer2.count <= buffer2.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",4522,2,2,1,
"AUTOSAR-1 Channel","Experiment1_5","autosar1.mutileM1.Experiment1_5","A[] not (runnable1.s2 and runnable2.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","STATIC_SIGMA","No","UNSAFE","PASS","YES",5276,4,2,5,
"AUTOSAR-1 Channel","Experiment1_6","autosar1.mutileM1.Experiment1_6","A[] not (runnable3.s2 and runnable4.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule1","schedule2","M1-multi/M2-single","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",12641,4,2,5,
"AUTOSAR-2 Channel","Experiment2_1","autosar2.Experiment2_1","A[] buffer1.count >= 0","buffer1","runnable1..3+buffer2+buffer4+schedule","M1-single/M2-multi","minimal repartition around buffer1 after original split timeout","NONE","STATIC_SIGMA","Yes","SAFE","PASS","NO",1457,3,2,1,
"AUTOSAR-2 Channel","Experiment2_2","autosar2.Experiment2_2","A[] buffer1.count <= buffer1.len","buffer1","runnable1..3+buffer2+buffer4+schedule","M1-single/M2-multi","minimal repartition around buffer1 after original split timeout","NONE","STATIC_SIGMA","Yes","SAFE","PASS","NO",1490,3,2,1,
"AUTOSAR-2 Channel","Experiment2_3","autosar2.Experiment2_3","A[] buffer2.count >= 0","buffer2","runnable1..3+buffer1+buffer4+rte+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split timeout","NONE","STATIC_SIGMA","Yes","SAFE","PASS","NO",1479,3,2,1,
"AUTOSAR-2 Channel","Experiment2_4","autosar2.Experiment2_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1..3+buffer1+buffer4+rte+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split timeout","NONE","STATIC_SIGMA","Yes","SAFE","PASS","NO",407,1,2,0,
"AUTOSAR-3 Channel","Experiment3_1","autosar3.Experiment3_1","A[] buffer1.count >= 0","runnable1..7+buffer1..3+task1..3","schedule","M1-multi/M2-single","original split","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",1834,2,3,1,
"AUTOSAR-3 Channel","Experiment3_2","autosar3.Experiment3_2","A[] buffer2.count >= 0","buffer2","runnable1..7+buffer1+buffer3+task1..3+schedule","M1-single/M2-multi","minimal repartition around buffer2 after original split incompatibility","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",1658,3,2,1,
"AUTOSAR-3 Channel","Experiment3_3","autosar3.Experiment3_3","A[] buffer3.count >= 0","buffer3","runnable1..7+buffer1..2+task1..3+schedule","M1-single/M2-multi","minimal repartition around buffer3 after original split incompatibility","NONE","STATIC_SIGMA","Yes","SAFE","PASS","YES",7440,5,2,3,
