group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,valid,verdict,status,tMeanMs,error
"PC Channel","PC_1","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer","Producer_1+Consumer_1+Consumer_2+Consumer_3","M1-single/M2-multi","binary-channel adaptation","NONE","Yes","SAFE","PASS",1150,
"PC Channel","PC_2","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer+Producer_1","Consumer_1+Consumer_2+Consumer_3","M1-multi/M2-multi","producer internal to M1","NONE","Yes","SAFE","PASS",112,
"PC Channel","PC_3","pc.PcP1C3K2Source","A[] Buffer.count >= 0 && Buffer.count <= Buffer.len","Buffer+Consumer_1+Consumer_2+Consumer_3","Producer_1","M1-multi/M2-single","all consumers internal to M1","NONE","Yes","SAFE","PASS",117,
"Train-Gate Channel","TrainGate_1","train_gate.TrainGateN4Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","Yes","SAFE","PASS",111,
"Train-Gate Channel","TrainGate_2","train_gate.TrainGateN5Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4+Train_5","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","Yes","SAFE","PASS",140,
"Train-Gate Channel","TrainGate_3","train_gate.TrainGateN6Source","A[] Queue.list[N-1] == 0","Gate+Queue","Train_1+Train_2+Train_3+Train_4+Train_5+Train_6","M1-central/M2-symmetric","Gate+Queue internal to M1","NONE","Yes","SAFE","PASS",205,
"Fischer Channel","Fischer2_1","fischer.FischerTa3Source","A[] Mutex.hold <= 1","Mutex","Process_1+Process_2+Global_Var","M1-single/M2-multi","monitor-only partition","NONE","Yes","SAFE","PASS",96,
"Fischer Channel","Fischer2_2","fischer.FischerTa3Source","A[] Mutex.hold <= 1","Mutex+Process_1","Process_2+Global_Var","M1-multi/M2-multi","Process_1 internal to M1","NONE","Yes","SAFE","PASS",103,
"Fischer Channel","Fischer3_1","fischer.FischerTa4Source","A[] Mutex.hold <= 1","Mutex","Process_1+Process_2+Process_3+Global_Var","M1-single/M2-multi","monitor-only partition","NONE","Yes","SAFE","PASS",90,
"Fischer Channel","Fischer3_2","fischer.FischerTa4Source","A[] Mutex.hold <= 1","Mutex+Process_1","Process_2+Process_3+Global_Var","M1-multi/M2-multi","Process_1 internal to M1","NONE","Yes","SAFE","PASS",110,
"AUTOSAR-1 Channel","Experiment1_single_1","autosar1.singleM1.Experiment1_single_1","A[] (buffer1.count >=0)","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",18042,
"AUTOSAR-1 Channel","Experiment1_single_2","autosar1.singleM1.Experiment1_single_2","A[] buffer1.count <= buffer1.len","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",17584,
"AUTOSAR-1 Channel","Experiment1_single_3","autosar1.singleM1.Experiment1_single_3","A[] (buffer2.count >=0)","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",17543,
"AUTOSAR-1 Channel","Experiment1_single_4","autosar1.singleM1.Experiment1_single_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",17557,
"AUTOSAR-1 Channel","Experiment1_1","autosar1.mutileM1.Experiment1_1","A[] (buffer1.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17545,
"AUTOSAR-1 Channel","Experiment1_2","autosar1.mutileM1.Experiment1_2","A[] (buffer1.count <= buffer1.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17460,
"AUTOSAR-1 Channel","Experiment1_3","autosar1.mutileM1.Experiment1_3","A[] (buffer2.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17615,
"AUTOSAR-1 Channel","Experiment1_4","autosar1.mutileM1.Experiment1_4","A[] (buffer2.count <= buffer2.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17612,
"AUTOSAR-1 Channel","Experiment1_5","autosar1.mutileM1.Experiment1_5","A[] not (runnable1.s2 and runnable2.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","No","UNSAFE","PASS",84,
