group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,valid,directVerdict,directStatus,directTMeanMs,staticVerdict,staticStatus,staticMatch,staticTMeanMs,staticQ,staticSigma,staticR,staticSpeedup,dynamicVerdict,dynamicStatus,dynamicMatch,dynamicTMeanMs,dynamicQ,dynamicSigma,dynamicR,dynamicSpeedup
"AUTOSAR-1 Channel","Experiment1_single_1","autosar1.singleM1.Experiment1_single_1","A[] (buffer1.count >=0)","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",18042,"SAFE","PASS","YES",6417,4,2,3,"2.81","SAFE","PASS","YES",6474,4,2,3,"2.79"
"AUTOSAR-1 Channel","Experiment1_single_2","autosar1.singleM1.Experiment1_single_2","A[] buffer1.count <= buffer1.len","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",17584,"SAFE","PASS","YES",390,1,2,0,"45.09","SAFE","PASS","YES",379,1,2,0,"46.40"
"AUTOSAR-1 Channel","Experiment1_single_3","autosar1.singleM1.Experiment1_single_3","A[] (buffer2.count >=0)","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",17543,"SAFE","PASS","YES",3151,3,2,2,"5.57","SAFE","PASS","YES",3049,3,2,2,"5.75"
"AUTOSAR-1 Channel","Experiment1_single_4","autosar1.singleM1.Experiment1_single_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","Yes","SAFE","PASS",17557,"SAFE","PASS","YES",378,1,2,0,"46.45","SAFE","PASS","YES",400,1,2,0,"43.89"
"AUTOSAR-1 Channel","Experiment1_1","autosar1.mutileM1.Experiment1_1","A[] (buffer1.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17545,"SAFE","PASS","YES",5852,3,2,2,"3.00","SAFE","PASS","YES",5847,3,2,2,"3.00"
"AUTOSAR-1 Channel","Experiment1_2","autosar1.mutileM1.Experiment1_2","A[] (buffer1.count <= buffer1.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17460,"SAFE","PASS","YES",4915,2,2,1,"3.55","SAFE","PASS","YES",4724,2,2,1,"3.70"
"AUTOSAR-1 Channel","Experiment1_3","autosar1.mutileM1.Experiment1_3","A[] (buffer2.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17615,"SAFE","PASS","YES",4666,2,2,1,"3.78","SAFE","PASS","YES",4728,2,2,1,"3.73"
"AUTOSAR-1 Channel","Experiment1_4","autosar1.mutileM1.Experiment1_4","A[] (buffer2.count <= buffer2.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",17612,"SAFE","PASS","YES",4522,2,2,1,"3.89","SAFE","PASS","YES",4534,2,2,1,"3.88"
"AUTOSAR-1 Channel","Experiment1_5","autosar1.mutileM1.Experiment1_5","A[] not (runnable1.s2 and runnable2.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","No","UNSAFE","PASS",84,"UNSAFE","PASS","YES",5276,4,2,5,"0.02","UNSAFE","PASS","YES",5303,4,2,5,"0.02"
"AUTOSAR-1 Channel","Experiment1_6","autosar1.mutileM1.Experiment1_6","A[] not (runnable3.s2 and runnable4.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule1","schedule2","M1-multi/M2-single","original split","NONE","Yes","SAFE","PASS",16702,"SAFE","PASS","YES",12641,4,2,5,"1.32","SAFE","PASS","YES",12575,4,2,5,"1.33"
